,Date,AAPL Open (USD),AAPL High (USD),AAPL Low (USD),AAPL Close (USD),AAPL Adj. Close (USD),AAPL Volume (Number of Shares),NDAQ Open (USD),NDAQ High (USD),NDAQ Low (USD),NDAQ Close (USD),NDAQ Adj. Close (USD),NDAQ Volume (Number of Shares)
66,2017-01-05,28.98,29.215,28.952499,29.1525,27.166473,88774400,5474.390137,5495.850098,5464.359863,5487.939941,5487.939941,1799170000
67,2017-01-06,29.195,29.540001,29.1175,29.477501,27.469336,127007600,5499.080078,5536.52002,5482.810059,5521.060059,5521.060059,1711870000
68,2017-01-09,29.487499,29.8575,29.485001,29.747499,27.720934,134247600,5527.580078,5541.080078,5517.140137,5531.819824,5531.819824,1887740000
69,2017-01-10,29.692499,29.844999,29.575001,29.7775,27.74889,97848400,5536.540039,5564.25,5528.109863,5551.819824,5551.819824,1798610000
70,2017-01-11,29.684999,29.9825,29.65,29.9375,27.897997,110354400,5550.720215,5564.080078,5524.029785,5563.649902,5563.649902,1960830000
71,2017-01-12,29.725,29.825001,29.5525,29.8125,27.781509,108344800,5542.560059,5550.669922,5496.819824,5547.490234,5547.490234,1805840000
72,2017-01-13,29.7775,29.905001,29.702499,29.76,27.732586,104447600,5557.569824,5584.259766,5557.200195,5574.120117,5574.120117,1611260000
73,2017-01-17,29.584999,30.059999,29.555,30.0,27.956238,137759200,5555.160156,5557.049805,5527.220215,5538.72998,5538.72998,1759440000
74,2017-01-18,30.0,30.125,29.9275,29.997499,27.953911,94852000,5546.939941,5555.97998,5534.77002,5555.649902,5555.649902,1686260000
75,2017-01-19,29.85,30.022499,29.842501,29.945,27.904984,102389200,5560.609863,5571.529785,5528.370117,5540.080078,5540.080078,1809900000
76,2017-01-20,30.112499,30.112499,29.932501,30.0,27.956238,130391600,5556.870117,5574.350098,5542.22998,5555.330078,5555.330078,1750340000
77,2017-01-23,30.0,30.202499,29.942499,30.02,27.974871,88200800,5546.640137,5564.140137,5522.689941,5552.939941,5552.939941,1652370000
78,2017-01-24,29.887501,30.025,29.875,29.9925,27.949244,92844000,5568.27002,5606.529785,5558.490234,5600.959961,5600.959961,1808560000
79,2017-01-25,30.105,30.525,30.07,30.469999,28.39422,129510400,5635.859863,5658.589844,5634.330078,5656.339844,5656.339844,1964040000
80,2017-01-26,30.4175,30.610001,30.4,30.485001,28.408197,105350400,5666.279785,5669.609863,5647.649902,5655.180176,5655.180176,1837020000
81,2017-01-27,30.535,30.5875,30.4,30.487499,28.410526,82251600,5664.879883,5667.450195,5643.899902,5660.779785,5660.779785,1669190000
82,2017-01-30,30.2325,30.407499,30.165001,30.407499,28.335972,121510000,5635.859863,5636.089844,5578.759766,5613.709961,5613.709961,1782380000
83,2017-01-31,30.2875,30.3475,30.155001,30.3375,28.270748,196804000,5592.870117,5615.149902,5576.089844,5614.790039,5614.790039,2047460000
84,2017-02-01,31.7575,32.622501,31.752501,32.1875,29.994713,447940000,5654.509766,5662.109863,5621.029785,5642.649902,5642.649902,2239570000
85,2017-02-02,31.995001,32.3475,31.945,32.1325,29.943457,134841600,5627.149902,5656.009766,5616.399902,5636.200195,5636.200195,2077010000
86,2017-02-03,32.077499,32.297501,32.040001,32.27,30.071592,98029200,5650.72998,5666.839844,5647.580078,5666.77002,5666.77002,1792330000
87,2017-02-06,32.282501,32.625,32.224998,32.572498,30.353481,107383600,5656.950195,5668.200195,5650.259766,5663.549805,5663.549805,1736140000
88,2017-02-07,32.634998,33.022499,32.612499,32.8825,30.642366,152735200,5674.859863,5689.600098,5664.819824,5674.220215,5674.220215,1922030000
89,2017-02-08,32.837502,33.055,32.805,33.009998,30.761183,92016400,5662.950195,5686.959961,5649.390137,5682.450195,5682.450195,1947100000
90,2017-02-09,32.912498,33.112499,32.779999,33.105,30.983461,113399600,5688.02002,5722.709961,5685.149902,5715.180176,5715.180176,1948120000
91,2017-02-10,33.115002,33.235001,33.012501,33.029999,30.913261,80262000,5726.169922,5743.430176,5717.419922,5734.129883,5734.129883,1867270000
92,2017-02-13,33.27,33.455002,33.1875,33.322498,31.187014,92141600,5753.189941,5770.990234,5751.919922,5763.959961,5763.959961,1843480000
93,2017-02-14,33.3675,33.772499,33.3125,33.755001,31.591801,132904800,5756.509766,5783.089844,5748.740234,5782.569824,5782.569824,1952370000
94,2017-02-15,33.880001,34.067501,33.654999,33.877499,31.706451,142492400,5777.899902,5821.950195,5776.700195,5819.439941,5819.439941,2094140000
95,2017-02-16,33.9175,33.974998,33.709999,33.837502,31.66902,90338400,5823.009766,5835.149902,5796.709961,5814.899902,5814.899902,1945600000
96,2017-02-17,33.775002,33.9575,33.775002,33.93,31.755592,88792800,5807.310059,5838.580078,5800.799805,5838.580078,5838.580078,1879030000
97,2017-02-21,34.057499,34.1875,33.994999,34.174999,31.984888,98028800,5850.200195,5867.890137,5847.5,5865.950195,5865.950195,1940110000
98,2017-02-22,34.107498,34.279999,34.0275,34.2775,32.080818,83347600,5857.560059,5864.419922,5848.279785,5860.629883,5860.629883,1874710000
99,2017-02-23,34.345001,34.369999,34.075001,34.1325,31.945114,83152800,5866.819824,5866.959961,5809.549805,5835.509766,5835.509766,1881490000
100,2017-02-24,33.977501,34.165001,33.82,34.165001,31.975527,87106400,5802.330078,5845.310059,5800.549805,5845.310059,5845.310059,1684650000
101,2017-02-27,34.285,34.360001,34.07,34.232498,32.038704,81029600,5835.040039,5861.899902,5827.0,5861.899902,5861.899902,1882610000
102,2017-02-28,34.27,34.360001,34.174999,34.247501,32.052742,93931600,5852.790039,5855.069824,5817.220215,5825.439941,5825.439941,2303390000
103,2017-03-01,34.4725,35.037498,34.400002,34.947498,32.707893,145658400,5874.859863,5911.790039,5865.790039,5904.029785,5904.029785,2220350000
104,2017-03-02,35.0,35.07,34.689999,34.740002,32.51368,104844000,5897.009766,5897.009766,5856.299805,5861.220215,5861.220215,2043610000
105,2017-03-03,34.695,34.9575,34.647499,34.945,32.705555,84432400,5854.27002,5870.75,5841.470215,5870.75,5870.75,1853600000
106,2017-03-06,34.842499,34.942501,34.650002,34.834999,32.602592,87000000,5846.419922,5857.740234,5827.459961,5849.180176,5849.180176,1774040000
107,2017-03-07,34.764999,34.994999,34.697498,34.880001,32.644714,69785200,5836.120117,5859.77002,5826.319824,5833.930176,5833.930176,1825510000
108,2017-03-08,34.737499,34.950001,34.705002,34.75,32.523033,74828800,5838.439941,5860.629883,5832.629883,5837.549805,5837.549805,1813080000
109,2017-03-09,34.685001,34.697498,34.262501,34.669998,32.448162,88623600,5834.669922,5852.540039,5812.080078,5838.810059,5838.810059,1886780000
110,2017-03-10,34.8125,34.84,34.66,34.785,32.555794,78451200,5867.160156,5872.600098,5835.439941,5861.72998,5861.72998,1999440000
111,2017-03-13,34.712502,34.857498,34.705002,34.799999,32.569832,69686800,5863.47998,5877.430176,5860.830078,5875.779785,5875.779785,1812460000
112,2017-03-14,34.825001,34.912498,34.709999,34.747501,32.520699,61236400,5860.069824,5860.5,5831.879883,5856.819824,5856.819824,1664870000
113,2017-03-15,34.852501,35.1875,34.7575,35.115002,32.864643,102767200,5869.97998,5911.200195,5858.160156,5900.049805,5900.049805,1955400000
114,2017-03-16,35.18,35.255001,35.064999,35.172501,32.918465,76928000,5907.859863,5911.47998,5887.240234,5900.759766,5900.759766,1770640000
115,2017-03-17,35.25,35.25,34.9725,34.997501,32.754681,175540000,5898.580078,5912.609863,5890.419922,5901.0,5901.0,3189970000
116,2017-03-20,35.099998,35.375,35.057499,35.365002,33.098625,86168000,5898.810059,5915.120117,5888.120117,5901.529785,5901.529785,1736790000
117,2017-03-21,35.5275,35.700001,34.932499,34.959999,32.719585,158119600,5923.419922,5928.060059,5790.72998,5793.830078,5793.830078,2199920000
118,2017-03-22,34.962502,35.400002,34.939999,35.355,33.089264,103440800,5790.589844,5825.669922,5781.799805,5821.640137,5821.640137,1860290000
119,2017-03-23,35.314999,35.395,35.1525,35.23,32.972282,81385200,5812.310059,5842.819824,5806.97998,5817.689941,5817.689941,1746990000
120,2017-03-24,35.375,35.435001,35.087502,35.16,32.906769,89582400,5839.330078,5858.950195,5807.830078,5828.740234,5828.740234,1855040000
121,2017-03-27,34.8475,35.305,34.654999,35.220001,32.962929,94300400,5776.330078,5849.200195,5769.390137,5840.370117,5840.370117,1673060000
122,2017-03-28,35.227501,36.009998,35.154999,35.950001,33.646137,133499200,5836.5,5888.700195,5828.859863,5875.140137,5875.140137,1823600000
123,2017-03-29,35.919998,36.122501,35.797501,36.029999,33.721012,116760000,5875.350098,5900.870117,5870.930176,5897.549805,5897.549805,1722190000
124,2017-03-30,36.047501,36.125,35.875,35.982498,33.676552,84829200,5896.149902,5916.77002,5894.0,5914.339844,5914.339844,1732100000
125,2017-03-31,35.93,36.067501,35.752499,35.915001,33.613369,78646800,5905.629883,5927.810059,5901.77002,5911.740234,5911.740234,1905150000
126,2017-04-03,35.927502,36.029999,35.762501,35.924999,33.622734,79942800,5917.319824,5928.930176,5867.72998,5894.680176,5894.680176,1852990000
127,2017-04-04,35.8125,36.2225,35.7925,36.192501,33.873093,79565600,5878.759766,5901.390137,5878.759766,5898.609863,5898.609863,1795260000
128,2017-04-05,36.055,36.365002,35.952499,36.005001,33.697617,110871600,5911.919922,5936.390137,5856.259766,5864.47998,5864.47998,2208600000
129,2017-04-06,36.072498,36.130001,35.862499,35.915001,33.613369,84596000,5870.52002,5889.580078,5856.220215,5878.950195,5878.950195,1849790000
130,2017-04-07,35.932499,36.044998,35.817501,35.834999,33.538506,66688800,5873.939941,5892.069824,5855.509766,5877.810059,5877.810059,1703730000
131,2017-04-10,35.900002,35.970001,35.724998,35.7925,33.498734,75733600,5883.430176,5907.850098,5865.560059,5880.930176,5880.930176,1633190000
132,2017-04-11,35.735001,35.837502,35.014999,35.407501,33.138397,121517600,5871.160156,5878.939941,5819.290039,5866.77002,5866.77002,1830760000
133,2017-04-12,35.400002,35.537498,35.252499,35.450001,33.178169,81400000,5863.589844,5868.089844,5830.439941,5836.160156,5836.160156,1666570000
134,2017-04-13,35.477501,35.595001,35.262501,35.262501,33.002697,71291600,5828.370117,5856.540039,5805.149902,5805.149902,5805.149902,1587150000
135,2017-04-17,35.369999,35.470001,35.217499,35.4575,33.185204,66328400,5821.549805,5856.790039,5818.200195,5856.790039,5856.790039,1383550000
136,2017-04-18,35.352501,35.509998,35.2775,35.299999,33.037796,58790000,5838.589844,5860.040039,5828.569824,5849.470215,5849.470215,1610230000
137,2017-04-19,35.470001,35.5,35.112499,35.169998,32.916126,69313600,5874.430176,5894.680176,5856.339844,5863.029785,5863.029785,1754240000
138,2017-04-20,35.305,35.73,35.290001,35.610001,33.327927,93278400,5887.870117,5926.22998,5880.200195,5916.779785,5916.779785,1751490000
139,2017-04-21,35.610001,35.669998,35.462502,35.567501,33.288151,69283600,5919.02002,5919.22998,5899.430176,5910.52002,5910.52002,1736420000
140,2017-04-24,35.875,35.987499,35.794998,35.91,33.6087,68537200,5979.959961,5989.919922,5970.25,5983.819824,5983.819824,1842880000
141,2017-04-25,35.977501,36.224998,35.967499,36.1325,33.816944,75486000,6004.160156,6036.02002,6002.649902,6025.490234,6025.490234,1898120000
142,2017-04-26,36.1175,36.150002,35.845001,35.919998,33.618061,80164800,6028.120117,6040.890137,6021.720215,6025.22998,6025.22998,1899570000
143,2017-04-27,35.98,36.040001,35.827499,35.947498,33.643787,56985200,6038.470215,6050.700195,6031.589844,6048.939941,6048.939941,1883610000
144,2017-04-28,36.022499,36.075001,35.817501,35.912498,33.611042,83441600,6072.870117,6074.040039,6040.709961,6047.609863,6047.609863,2005870000
145,2017-05-01,36.275002,36.799999,36.240002,36.645,34.2966,134411600,6067.560059,6100.72998,6061.350098,6091.600098,6091.600098,1763100000
146,2017-05-02,36.884998,37.022499,36.709999,36.877499,34.514191,181408800,6102.509766,6102.720215,6081.560059,6095.370117,6095.370117,2162610000
147,2017-05-03,36.397499,36.872501,36.067501,36.764999,34.408913,182788000,6075.040039,6076.959961,6053.279785,6072.549805,6072.549805,2152850000
148,2017-05-04,36.630001,36.785,36.452499,36.6325,34.284904,93487600,6075.060059,6080.819824,6054.330078,6075.339844,6075.339844,2059820000
149,2017-05-05,36.689999,37.244999,36.689999,37.240002,34.85347,109310800,6091.689941,6100.759766,6067.160156,6100.759766,6100.759766,1903040000
150,2017-05-08,37.2575,38.424999,37.2575,38.252499,35.801075,195009600,6100.660156,6106.120117,6083.060059,6102.660156,6102.660156,1912030000
151,2017-05-09,38.467499,38.720001,38.362499,38.497501,36.030376,156521600,6111.819824,6133.0,6107.589844,6120.589844,6120.589844,2005820000
152,2017-05-10,38.407501,38.485001,38.0275,38.314999,35.859581,103222800,6121.640137,6131.640137,6103.870117,6129.140137,6129.140137,2111850000
153,2017-05-11,38.112499,38.517502,38.077499,38.487499,36.169697,109020400,6110.049805,6120.200195,6075.680176,6115.959961,6115.959961,1952650000
154,2017-05-12,38.674999,39.105,38.6675,39.025002,36.674843,130108000,6119.27002,6122.839844,6105.419922,6121.22998,6121.22998,1749010000
155,2017-05-15,39.002499,39.162498,38.762501,38.924999,36.580849,104038800,6128.109863,6153.040039,6124.790039,6149.669922,6149.669922,1865450000
156,2017-05-16,38.985001,39.014999,38.68,38.8675,36.52681,80194000,6160.52002,6170.160156,6139.100098,6169.870117,6169.870117,2006980000
157,2017-05-17,38.400002,38.642502,37.427502,37.5625,35.300411,203070800,6108.620117,6122.870117,6009.47998,6011.240234,6011.240234,2355460000
158,2017-05-18,37.817501,38.334999,37.782501,38.134998,35.838428,134272800,5998.459961,6073.450195,5996.810059,6055.129883,6055.129883,2134610000
159,2017-05-19,38.345001,38.494999,38.157501,38.264999,35.960598,107843200,6070.22998,6106.549805,6070.22998,6083.700195,6083.700195,1908030000
160,2017-05-22,38.5,38.645,38.227501,38.497501,36.179092,91865600,6098.25,6135.919922,6097.240234,6133.620117,6133.620117,1728190000
161,2017-05-23,38.724998,38.724998,38.327499,38.450001,36.134472,79675600,6149.549805,6150.910156,6121.790039,6138.709961,6138.709961,1709140000
162,2017-05-24,38.459999,38.5425,38.1675,38.334999,36.026382,76712000,6154.180176,6166.089844,6139.330078,6163.02002,6163.02002,1672380000
163,2017-05-25,38.432499,38.587502,38.2575,38.467499,36.150898,76942400,6183.02002,6217.339844,6174.52002,6205.259766,6205.259766,1775750000
164,2017-05-26,38.5,38.560001,38.327499,38.4025,36.089817,87710400,6207.040039,6211.52002,6196.660156,6210.189941,6210.189941,1573200000
165,2017-05-30,38.355,38.607498,38.3325,38.4175,36.103924,80507600,6204.180176,6217.129883,6200.410156,6203.189941,6203.189941,1690930000
166,2017-05-31,38.4925,38.5425,38.095001,38.189999,35.890118,97804800,6221.629883,6221.990234,6164.069824,6198.52002,6198.52002,2212130000
167,2017-06-01,38.2925,38.3325,38.055,38.294998,35.988789,65616400,6215.910156,6247.069824,6200.450195,6246.830078,6246.830078,1946000000
168,2017-06-02,38.395,38.862499,38.2225,38.862499,36.522125,111082800,6261.589844,6308.759766,6253.77002,6305.799805,6305.799805,1825450000
169,2017-06-05,38.584999,38.612499,38.365002,38.482498,36.165012,101326800,6305.470215,6310.620117,6292.149902,6295.680176,6295.680176,1742160000
170,2017-06-06,38.474998,38.952499,38.445,38.612499,36.287174,106499600,6281.879883,6304.209961,6269.870117,6275.060059,6275.060059,1893110000
171,2017-06-07,38.755001,38.994999,38.619999,38.842499,36.503319,84278400,6290.439941,6302.779785,6267.180176,6297.379883,6297.379883,1827220000
172,2017-06-08,38.8125,38.884998,38.599998,38.747501,36.41404,85003200,6311.72998,6324.060059,6282.930176,6321.759766,6321.759766,2134350000
173,2017-06-09,38.797501,38.797501,36.505001,37.244999,35.002037,259530800,6330.25,6341.700195,6137.680176,6207.919922,6207.919922,3154590000
174,2017-06-12,36.435001,36.522499,35.627499,36.355,34.165615,289229200,6153.560059,6183.810059,6110.669922,6175.459961,6175.459961,2588860000
175,2017-06-13,36.790001,36.862499,36.287498,36.647499,34.44051,136661600,6206.120117,6226.410156,6180.040039,6220.370117,6220.370117,2063930000
176,2017-06-14,36.875,36.875,35.959999,36.290001,34.104549,126124800,6237.459961,6237.529785,6153.549805,6194.890137,6194.890137,1949040000
177,2017-06-15,35.830002,36.119999,35.552502,36.072498,33.900146,128661600,6127.049805,6170.149902,6107.850098,6165.5,6165.5,1870010000
178,2017-06-16,35.945,36.125,35.549999,35.567501,33.425545,201444400,6154.279785,6161.560059,6125.5,6151.759766,6151.759766,3133000000
179,2017-06-19,35.915001,36.685001,35.915001,36.584999,34.381771,130165600,6196.850098,6243.310059,6194.0,6239.009766,6239.009766,1989290000
180,2017-06-20,36.717499,36.717499,36.235001,36.252499,34.069294,99600400,6229.620117,6234.009766,6186.939941,6188.029785,6188.029785,2580440000
181,2017-06-21,36.380001,36.517502,36.1525,36.467499,34.271351,85063200,6202.75,6236.660156,6200.859863,6233.950195,6233.950195,2408800000
182,2017-06-22,36.442501,36.674999,36.279999,36.407501,34.214962,76425200,6239.149902,6257.680176,6221.959961,6236.689941,6236.689941,2177430000
183,2017-06-23,36.282501,36.790001,36.2775,36.57,34.367672,141757600,6234.350098,6269.370117,6218.779785,6265.25,6265.25,4164310000
184,2017-06-26,36.7925,37.07,36.345001,36.455002,34.259609,102769600,6292.72998,6303.450195,6233.430176,6247.149902,6247.149902,2155460000
185,2017-06-27,36.252499,36.540001,35.904999,35.932499,33.768566,99047600,6227.899902,6234.319824,6146.620117,6146.620117,6146.620117,2189250000
186,2017-06-28,36.122501,36.5275,35.790001,36.4575,34.261948,88329600,6173.100098,6238.290039,6144.799805,6234.410156,6234.410156,2077390000
187,2017-06-29,36.177502,36.282501,35.57,35.919998,33.756821,125997600,6215.490234,6216.600098,6087.810059,6144.350098,6144.350098,2410510000
