,Date,AAPL Open (USD),AAPL High (USD),NDAQ Open (USD)
79,2017-01-25,30.105,30.525,5635.859863
80,2017-01-26,30.4175,30.610001,5666.279785
81,2017-01-27,30.535,30.5875,5664.879883
82,2017-01-30,30.2325,30.407499,5635.859863
83,2017-01-31,30.2875,30.3475,5592.870117
84,2017-02-01,31.7575,32.622501,5654.509766
85,2017-02-02,31.995001,32.3475,5627.149902
86,2017-02-03,32.077499,32.297501,5650.72998
87,2017-02-06,32.282501,32.625,5656.950195
88,2017-02-07,32.634998,33.022499,5674.859863
89,2017-02-08,32.837502,33.055,5662.950195
90,2017-02-09,32.912498,33.112499,5688.02002
91,2017-02-10,33.115002,33.235001,5726.169922
92,2017-02-13,33.27,33.455002,5753.189941
93,2017-02-14,33.3675,33.772499,5756.509766
94,2017-02-15,33.880001,34.067501,5777.899902
95,2017-02-16,33.9175,33.974998,5823.009766
96,2017-02-17,33.775002,33.9575,5807.310059
97,2017-02-21,34.057499,34.1875,5850.200195
98,2017-02-22,34.107498,34.279999,5857.560059
99,2017-02-23,34.345001,34.369999,5866.819824
100,2017-02-24,33.977501,34.165001,5802.330078
101,2017-02-27,34.285,34.360001,5835.040039
102,2017-02-28,34.27,34.360001,5852.790039
103,2017-03-01,34.4725,35.037498,5874.859863
104,2017-03-02,35.0,35.07,5897.009766
105,2017-03-03,34.695,34.9575,5854.27002
106,2017-03-06,34.842499,34.942501,5846.419922
107,2017-03-07,34.764999,34.994999,5836.120117
108,2017-03-08,34.737499,34.950001,5838.439941
109,2017-03-09,34.685001,34.697498,5834.669922
110,2017-03-10,34.8125,34.84,5867.160156
111,2017-03-13,34.712502,34.857498,5863.47998
112,2017-03-14,34.825001,34.912498,5860.069824
113,2017-03-15,34.852501,35.1875,5869.97998
114,2017-03-16,35.18,35.255001,5907.859863
115,2017-03-17,35.25,35.25,5898.580078
116,2017-03-20,35.099998,35.375,5898.810059
117,2017-03-21,35.5275,35.700001,5923.419922
118,2017-03-22,34.962502,35.400002,5790.589844
119,2017-03-23,35.314999,35.395,5812.310059
120,2017-03-24,35.375,35.435001,5839.330078
121,2017-03-27,34.8475,35.305,5776.330078
122,2017-03-28,35.227501,36.009998,5836.5
123,2017-03-29,35.919998,36.122501,5875.350098
124,2017-03-30,36.047501,36.125,5896.149902
125,2017-03-31,35.93,36.067501,5905.629883
126,2017-04-03,35.927502,36.029999,5917.319824
127,2017-04-04,35.8125,36.2225,5878.759766
128,2017-04-05,36.055,36.365002,5911.919922
129,2017-04-06,36.072498,36.130001,5870.52002
130,2017-04-07,35.932499,36.044998,5873.939941
131,2017-04-10,35.900002,35.970001,5883.430176
132,2017-04-11,35.735001,35.837502,5871.160156
133,2017-04-12,35.400002,35.537498,5863.589844
134,2017-04-13,35.477501,35.595001,5828.370117
135,2017-04-17,35.369999,35.470001,5821.549805
136,2017-04-18,35.352501,35.509998,5838.589844
137,2017-04-19,35.470001,35.5,5874.430176
138,2017-04-20,35.305,35.73,5887.870117
139,2017-04-21,35.610001,35.669998,5919.02002
140,2017-04-24,35.875,35.987499,5979.959961
141,2017-04-25,35.977501,36.224998,6004.160156
142,2017-04-26,36.1175,36.150002,6028.120117
143,2017-04-27,35.98,36.040001,6038.470215
144,2017-04-28,36.022499,36.075001,6072.870117
145,2017-05-01,36.275002,36.799999,6067.560059
146,2017-05-02,36.884998,37.022499,6102.509766
147,2017-05-03,36.397499,36.872501,6075.040039
148,2017-05-04,36.630001,36.785,6075.060059
149,2017-05-05,36.689999,37.244999,6091.689941
150,2017-05-08,37.2575,38.424999,6100.660156
151,2017-05-09,38.467499,38.720001,6111.819824
152,2017-05-10,38.407501,38.485001,6121.640137
153,2017-05-11,38.112499,38.517502,6110.049805
154,2017-05-12,38.674999,39.105,6119.27002
155,2017-05-15,39.002499,39.162498,6128.109863
156,2017-05-16,38.985001,39.014999,6160.52002
157,2017-05-17,38.400002,38.642502,6108.620117
158,2017-05-18,37.817501,38.334999,5998.459961
159,2017-05-19,38.345001,38.494999,6070.22998
160,2017-05-22,38.5,38.645,6098.25
161,2017-05-23,38.724998,38.724998,6149.549805
162,2017-05-24,38.459999,38.5425,6154.180176
163,2017-05-25,38.432499,38.587502,6183.02002
164,2017-05-26,38.5,38.560001,6207.040039
165,2017-05-30,38.355,38.607498,6204.180176
166,2017-05-31,38.4925,38.5425,6221.629883
167,2017-06-01,38.2925,38.3325,6215.910156
168,2017-06-02,38.395,38.862499,6261.589844
169,2017-06-05,38.584999,38.612499,6305.470215
170,2017-06-06,38.474998,38.952499,6281.879883
171,2017-06-07,38.755001,38.994999,6290.439941
172,2017-06-08,38.8125,38.884998,6311.72998
173,2017-06-09,38.797501,38.797501,6330.25
174,2017-06-12,36.435001,36.522499,6153.560059
175,2017-06-13,36.790001,36.862499,6206.120117
176,2017-06-14,36.875,36.875,6237.459961
177,2017-06-15,35.830002,36.119999,6127.049805
178,2017-06-16,35.945,36.125,6154.279785
179,2017-06-19,35.915001,36.685001,6196.850098
180,2017-06-20,36.717499,36.717499,6229.620117
181,2017-06-21,36.380001,36.517502,6202.75
182,2017-06-22,36.442501,36.674999,6239.149902
183,2017-06-23,36.282501,36.790001,6234.350098
184,2017-06-26,36.7925,37.07,6292.72998
185,2017-06-27,36.252499,36.540001,6227.899902
186,2017-06-28,36.122501,36.5275,6173.100098
187,2017-06-29,36.177502,36.282501,6215.490234
188,2017-06-30,36.112499,36.240002,6166.839844
189,2017-07-03,36.220001,36.325001,6173.290039
190,2017-07-05,35.922501,36.197498,6122.060059
191,2017-07-06,35.755001,35.875,6109.600098
192,2017-07-07,35.724998,36.1875,6111.209961
